Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-19 02:32:23,32.3182,-86.9023,12086,489,,11597.0,1,246.49284087791915,157123.0,1416.0,4.046003640575873,84000001,USA,3204.5089059458287,11.716035081912956
Alaska,US,2020-05-19 02:32:23,61.3707,-152.4044,388,10,345.0,33.0,2,53.03843235891162,35611.0,,2.5773195876288657,84000002,USA,4867.9165328175295,
American Samoa,US,2020-05-19 02:32:23,-14.271,-170.132,0,0,,0.0,60,0.0,105.0,,,16,ASM,188.70976438237992,
Arizona,US,2020-05-19 02:32:23,33.7298,-111.4312,14208,687,3570.0,9951.0,4,195.19923634893348,156473.0,1717.0,4.8353040540540535,84000004,USA,2149.7332565615616,12.084740990990989
Arkansas,US,2020-05-19 02:32:23,34.9697,-92.3731,4813,100,3645.0,1068.0,5,159.48683214681938,85239.0,530.0,2.077706212341575,84000005,USA,2824.5373125623796,11.011842925410347
California,US,2020-05-19 02:32:23,36.1162,-119.6816,81457,3279,,78178.0,6,206.15645948343632,1292672.0,,4.02543673349129,84000006,USA,3271.5749756727173,
Colorado,US,2020-05-19 02:32:23,39.0598,-105.3111,22202,1224,3346.0,17632.0,8,385.5359926206028,128495.0,3872.0,5.5130168453292505,84000008,USA,2231.3056198443546,17.43987028195658
Connecticut,US,2020-05-19 02:32:23,41.5978,-72.7554,38116,3450,6264.0,28402.0,9,1069.0864438122373,177679.0,10946.0,9.051317032217442,84000009,USA,4983.581966893549,28.71759890859482
Delaware,US,2020-05-19 02:32:23,39.3185,-75.5071,7869,297,3545.0,4027.0,10,808.1013469382725,42458.0,,3.7743042317956537,84000010,USA,4360.194051125324,
Diamond Princess,US,2020-05-19 02:32:23,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-19 02:32:23,38.8974,-77.0268,7270,392,1028.0,5850.0,11,1030.1112718544412,37825.0,,5.392022008253095,84000011,USA,5359.554175776374,
Florida,US,2020-05-19 02:32:23,27.7663,-81.6868,46442,1997,,44445.0,12,216.23320929947133,676412.0,8553.0,4.299987080659748,84000012,USA,3149.3634548183545,18.41651952973601
